model,accuracy,weighted_accuracy,loss,weighted_loss,precision,recall,f1_score,weighted_precision,weighted_recall,weighted_f1_score
final_001.h5,0.513296875,0.5286095,1.032,1.0253773,0.34441193010666254,0.4041812378289636,0.36965814473189645,0.4423240284180302,0.5198549415507565,0.4750735091814639
final_002.h5,0.514515625,0.5291657,1.027,1.0199296,0.3458254025105895,0.4050742045740002,0.3699855435155823,0.44412497247462507,0.5211221194320061,0.4755378275399929
final_003.h5,0.1930625,0.19303668,1.163,1.1625504,0.5483566912809206,0.35116548253814645,0.15478657225148043,0.6602525882185528,0.18386783947709132,0.1238102480792288
final_004.h5,0.464578125,0.47705853,1.038,1.0318137,0.3098135112979643,0.3660752344372038,0.33555393227711744,0.39800260752629923,0.47038753984167214,0.43111555428694304
final_005.h5,0.477671875,0.49630085,1.038,1.0322881,0.32512614218758135,0.3755722301420629,0.3353254486190788,0.41750121203768037,0.4840491977719203,0.43137626224460784
final_006.h5,0.358375,0.36156005,1.067,1.0650017,0.23872828410429525,0.28220493486044107,0.25797380116823393,0.30673253589269583,0.3629475293490507,0.3316094250068231
final_007.h5,0.507109375,0.51939845,1.047,1.0423726,0.4230931639462721,0.39992495920632826,0.3674413620795198,0.4714129605840838,0.5134715302011457,0.47099037662606524
final_008.h5,0.4464375,0.4661663,1.043,1.035934,0.2986179398004137,0.35242631204290803,0.31755895461796113,0.38370312706550275,0.4517021586637042,0.4075526773041941
final_009.h5,0.503375,0.5149183,1.03,1.0218836,0.3356084503584143,0.3966349485411942,0.36353834975961224,0.43116953417999115,0.5096750723603357,0.46709519816818496
final_010.h5,0.415953125,0.426051,1.056,1.0501214,0.27521539570579306,0.3272171859346914,0.295190788555432,0.3536992458940623,0.42142188773816264,0.37975175466401684
final_011.h5,0.5000625,0.51366997,1.045,1.0392605,0.33867930349468206,0.3946829825793429,0.3572902028947828,0.43536327589223695,0.5059969388153341,0.45870476010930783
final_012.h5,0.50425,0.51885086,1.039,1.033005,0.33675185735183644,0.39721572194702864,0.3639332685505896,0.4325658021148613,0.5106145586673487,0.46764159428175245
final_013.h5,0.515109375,0.5304995,1.03,1.0209574,0.5338310153823663,0.4059184998819636,0.3721413371080422,0.5231389735145461,0.5215751741859532,0.47796937512719534
final_014.h5,0.508546875,0.52154374,1.021,1.0142817,0.3399973998895776,0.4005657430202952,0.36692558871728637,0.43670658824233644,0.514982800253398,0.47149648645546705
final_015.h5,0.38703125,0.39691782,1.047,1.0419495,0.2579995227315137,0.3049765880354797,0.2795274219855866,0.3314968649557278,0.3918678932586943,0.3591622992264955
final_016.h5,0.367140625,0.37361076,1.075,1.071225,0.24476129505914487,0.28930871682508236,0.2651721185422369,0.31446187910924,0.3717258752097857,0.34069803262847237
final_017.h5,0.51515625,0.53010446,1.022,1.0129193,0.34353083572815235,0.40589947840723045,0.3720248620432371,0.4413296784698501,0.5216128952918212,0.47800242015482836
final_018.h5,0.50840625,0.5208226,1.014,1.0036523,0.3391484552462242,0.40050187468499865,0.36692053166078625,0.43569158898306254,0.514817295042647,0.47149861055952086
final_019.h5,0.5149375,0.5301505,1.022,1.0145591,0.34324719365600087,0.4057099935667921,0.3718041827024849,0.4410103491140599,0.5213998406443658,0.4777581015699344
final_020.h5,0.500234375,0.5158581,1.035,1.0282089,0.33342031212962325,0.39414302178984917,0.3612471894260107,0.4284606807520952,0.5065036458772073,0.4642243261322919
final_021.h5,0.49646875,0.5080409,1.036,1.0299776,0.33097952024488003,0.39126565159776927,0.35860291721030557,0.4252247311168378,0.5026466786161666,0.4607010041248207
final_022.h5,0.39640625,0.4097293,1.042,1.03505,0.26436265484498717,0.31245070754631316,0.28629051765889807,0.33968009237019603,0.4013173356748931,0.3677917300568224
final_023.h5,0.51646875,0.53086436,1.03,1.0234349,0.3446252881529799,0.4068927256575252,0.372903856930941,0.4427028059018647,0.522961987543216,0.4791431751318621
final_024.h5,0.537359375,0.5561187,1.011,1.0007089,0.3584418043416729,0.4233679755222191,0.38801505649183293,0.4604683752865795,0.5441069517692276,0.4985568194532604
final_025.h5,0.15896875,0.15098031,1.274,1.2822657,0.43928138981243564,0.3281573841649494,0.10393669434407764,0.5213190332499902,0.14904267841017077,0.059634273858192824
final_026.h5,0.491359375,0.5082562,1.025,1.0158987,0.33040112800457005,0.38781543644521244,0.3508008371418718,0.4246280877621062,0.49718976892924316,0.45032116869421746
final_027.h5,0.417125,0.43187082,1.04,1.0328557,0.2780810590790548,0.32874777845177144,0.3012870778355499,0.3572661543273538,0.4223093313220897,0.38705872230905597
final_028.h5,0.374,0.38223222,1.061,1.0552236,0.24930138553297146,0.2946991967732037,0.2701048491475559,0.32033081716243667,0.37867817963631667,0.34706781275191745
final_029.h5,0.523140625,0.5395879,1.026,1.0174054,0.34875113970503885,0.41221496911999034,0.3778148092006826,0.44807097414849895,0.5296852833298923,0.4854438666721419
final_030.h5,0.397078125,0.4094867,1.042,1.0352436,0.26472522634645185,0.3129210645003661,0.2868056888847257,0.34013859939088925,0.4020267051604347,0.36849347221106743
final_031.h5,0.512578125,0.52668875,1.019,1.0089045,0.34179099287309084,0.40386235784909846,0.37014573540062856,0.43910126111536735,0.5190053030510744,0.4755962612395721
final_032.h5,0.475328125,0.48936895,1.037,1.0293167,0.3173043098563629,0.37474008726389024,0.3431019999992208,0.4077345132493413,0.48117633769234974,0.44073180873427886
